Year,Region,Swiss,Foreigners,Total
2019,Graubünden,3208122,2047894,5256016
2019,Eastern Switzerland,1253631,643506,1897137
2019,Zurich Region,2162267,4371968,6534235
2019,Lucerne / Lake Lucerne,1594059,2318318,3912377
2019,Basel Region,624003,1082584,1706587
2019,Bern Region,2242519,3172277,5414796
2019,Jura & Three-Lakes,343691,212460,556151
2019,Vaud,1336282,1623074,2959356
2019,Geneva,620589,2582385,3202974
2019,Valais,2220259,2039691,4259950
2019,Ticino,1428731,880787,2309518
2019,Fribourg Region,301820,180079,481899
2019,Aargau & Solothurn Region,586455,484588,1071043
2020,Graubünden,3599165,1170805,4769970
2020,Eastern Switzerland,1157113,313630,1470743
2020,Zurich Region,1090528,1167512,2258040
2020,Lucerne / Lake Lucerne,1558084,581496,2139580
2020,Basel Region,378749,315494,694243
2020,Bern Region,2386502,913947,3300449
2020,Jura & Three-Lakes,324769,88524,413293
2020,Vaud,982699,548162,1530861
2020,Geneva,370941,670947,1041888
2020,Valais,2297804,929265,3227069
2020,Ticino,1566915,366758,1933673
2020,Fribourg Region,243758,57566,301324
2020,Aargau & Solothurn Region,432364,217241,649605
2021,Graubünden,4034883,1118272,5153155
2021,Eastern Switzerland,1449436,382943,1832379
2021,Zurich Region,1597940,1541995,3139935
2021,Lucerne / Lake Lucerne,1996330,713425,2709755
2021,Basel Region,529386,440373,969759
2021,Bern Region,2917424,1007754,3925178
2021,Jura & Three-Lakes,444898,118236,563134
2021,Vaud,1439713,646129,2085842
2021,Geneva,573465,951284,1524749
2021,Valais,2684616,819475,3504091
2021,Ticino,2427411,507034,2934445
2021,Fribourg Region,318605,77924,396529
2021,Aargau & Solothurn Region,546558,273340,819898
2022,Graubünden,3742997,1823583,5566580
2022,Eastern Switzerland,1406896,570350,1977246
2022,Zurich Region,2416690,3519041,5935731
2022,Lucerne / Lake Lucerne,1932922,1567324,3500246
2022,Basel Region,678073,853077,1531150
2022,Bern Region,2815291,2435710,5251001
2022,Jura & Three-Lakes,422878,169020,591898
2022,Vaud,1560278,1119779,2680057
2022,Geneva,794285,2171139,2965424
2022,Valais,2572619,1616461,4189080
2022,Ticino,1730867,824376,2555243
2022,Fribourg Region,348606,125033,473639
2022,Aargau & Solothurn Region,639821,384029,1023850
2023,Graubünden,3508516,1917526,5426042
2023,Eastern Switzerland,1427527,611733,2039260
2023,Zurich Region,2587463,4371804,6959267
2023,Lucerne / Lake Lucerne,1868717,2075634,3944351
2023,Basel Region,694141,1055971,1750112
2023,Bern Region,2772053,3221127,5993180
2023,Jura & Three-Lakes,415794,186970,602764
2023,Vaud,1574781,1336334,2911115
2023,Geneva,903961,2649342,3553303
2023,Valais,2512245,1966851,4479096
2023,Ticino,1548764,909072,2457836
2023,Fribourg Region,343047,153783,496830
2023,Aargau & Solothurn Region,681132,464795,1145927
